2	266
2	334
5	246
5	354
7	236
8	368
12	216
12	384
18	198
19	405
24	183
26	422
28	174
38	154
38	446
42	147
45	458
51	133
53	130
55	473
60	120
60	480
68	110
68	490
73	104
73	496
81	95
81	505
89	87
94	518
104	73
104	527
115	64
115	536
127	55
127	545
136	49
142	555
147	42
147	558
156	37
160	565
178	26
178	574
185	577
195	19
198	582
216	12
216	588
232	592
236	7
246	5
246	595
252	4
252	596
267	2
267	598
277	1
278	599
300	0
324	1
324	599
334	598
342	3
342	597
354	5
354	595
372	9
372	591
384	12
384	588
405	19
405	581
410	21
410	579
417	24
424	573
426	28
446	38
446	562
453	558
458	45
458	555
473	55
473	545
480	540
491	69
496	73
496	527
505	81
507	517
515	509
519	95
527	104
527	496
532	110
532	490
540	120
540	480
545	473
547	130
549	467
555	142
558	147
558	453
563	444
564	158
573	176
574	422
579	190
581	195
581	405
588	216
588	384
593	236
593	364
596	348
597	258
598	266
598	334
599	276
