1	300
2	277
5	254
12	222
17	207
25	185
33	169
47	145
58	128
70	110
103	77
110	70
139	51
164	35
180	28
187	25
214	14
238	8
243	7
261	4
270	3
280	2
300	1
322	2
339	4
357	7
374	11
390	16
396	18
410	24
437	36
446	41
475	59
499	78
525	106
548	134
557	150
559	154
580	197
586	218
589	229
593	247
596	261
597	267
598	304
597	328
594	352
590	370
585	388
576	413
563	439
543	469
522	497
502	518
496	524
457	554
445	561
443	562
414	576
403	580
394	583
381	587
373	589
365	591
339	596
331	597
320	598
300	599
277	598
253	595
236	591
220	587
202	581
174	569
149	557
120	537
107	526
92	511
77	495
59	475
40	444
27	420
24	412
11	371
5	340
2	316
